Starting global crib with output settings...
shiftsum | shiftdifferencessum | cribword | shiftlist | shiftdifferences | shiftlistfacts | shiftsinwordform | shiftsingpform
ioo(7) 30 | 16 | holy | [8, 10, 12, 0] | [2, 2, 12] | [is_even, ad, diffs_incremental, diffs_is_even, dhr] | HIEOF | JAEON 
ioo(8) 75 | 24 | holy | [12, 8, 27, 28] | [4, 19, 1] | [ad, dad] | EOHIOEA | EOJ?IO??EA? 
ioo(9) 32 | 20 | holy | [7, 6, 2, 17] | [1, 4, 15] | [ad, diffs_incremental, dad] | WGTHB | O?G?(FID)G 
Results for branch11.txt
ioo(0) 66 | 16 | holy | [19, 12, 14, 21] | [7, 2, 7] | [ad, dhr, diffs_all_prime] | MEOXING | WEO(PAE)ING 
ioo(1) 50 | 47 | holy | [23, 6, 19, 2] | [17, 13, 17] | [ad, diffs_is_odd, dhr, diffs_all_prime] | DGMTH | H?G?W(FID) 
ioo(2) 41 | 24 | holy | [3, 17, 14, 7] | [14, 3, 7] | [ad, dad] | OBXW | (UB)G(PAE)O 
ioo(3) 67 | 10 | holy | [11, 17, 18, 21] | [6, 1, 3] | [incremental, ad, dad] | JBEING | RGXING 
ioo(4) 46 | 47 | holy | [0, 24, 21, 1] | [24, 3, 20] | [ad, dad] | FAINGU | NSINGT 
ioo(5) 84 | 29 | holy | [26, 27, 10, 21] | [1, 17, 11] | [ad, diffs_is_odd, dad] | YIOIING | ?Y??IO?AING 
ioo(6) 39 | 16 | holy | [1, 9, 12, 17] | [8, 3, 5] | [incremental, ad, dad] | UNEOB | TEEOG 
ioo(7) 33 | 16 | holy | [4, 13, 10, 6] | [9, 3, 4] | [ad, dad] | RPIG | ?R?(CM)A?G? 
ioo(8) 63 | 42 | holy | [7, 26, 11, 19] | [19, 15, 8] | [ad, diffs_decremental, dad] | WYJM | O?Y?RW 
Results for branch12.txt
ioo(0) 46 | 49 | holy | [23, 2, 17, 4] | [21, 15, 13] | [ad, diffs_decremental, diffs_is_odd, dad] | DTHBR | H(FID)G?R? 
ioo(1) 55 | 33 | holy | [21, 28, 4, 2] | [7, 24, 2] | [ad, dad] | INGEARTH | ING?EA??R?(FID) 
ioo(2) 71 | 43 | holy | [15, 26, 8, 22] | [11, 18, 14] | [ad, dad] | SYHOE | L?Y?JEA 
ioo(3) 68 | 22 | holy | [11, 7, 25, 25] | [4, 18, 0] | [is_odd, hr, diffs_is_even, dad] | JWAEAE | ROOEOE 
ioo(4) 58 | 33 | holy | [0, 23, 16, 19] | [23, 7, 3] | [ad, diffs_decremental, diffs_is_odd, dad, diffs_all_prime] | FDTM | NHYW 
ioo(5) 50 | 15 | holy | [12, 13, 8, 17] | [1, 5, 9] | [ad, diffs_incremental, diffs_is_odd, dad] | EOPHB | EO(CM)JG 
ioo(6) 61 | 9 | holy | [14, 12, 18, 17] | [2, 6, 1] | [ad, dad] | XEOEB | (PAE)EOXG 
ioo(7) 68 | 31 | holy | [28, 13, 8, 19] | [15, 5, 11] | [ad, diffs_is_odd, dad] | EAPHM | ?EA?(CM)JW 
ioo(8) 65 | 51 | holy | [10, 27, 7, 21] | [17, 20, 14] | [ad, dad] | IIOWING | A?IO?OING 
ioo(9) 64 | 36 | holy | [20, 28, 16, 0] | [8, 12, 16] | [is_even, ad, diffs_incremental, diffs_is_even, dad] | LEATF | IO?EA?YN 
ioo(10) 35 | 18 | holy | [8, 8, 3, 16] | [0, 5, 13] | [hr, diffs_incremental, dad, diffs_all_prime] | HHOT | JJ(UB)Y 
ioo(11) 48 | 25 | holy | [12, 3, 14, 19] | [9, 11, 5] | [ad, diffs_is_odd, dad] | EOOXM | EO(UB)(PAE)W 
ioo(12) 40 | 35 | holy | [15, 6, 17, 2] | [9, 11, 15] | [ad, diffs_incremental, diffs_is_odd, dad] | SGBTH | L?G?G(FID) 
ioo(13) 42 | 17 | holy | [21, 6, 7, 8] | [15, 1, 1] | [ad, diffs_decremental, diffs_is_odd, dhr] | INGGWH | ING?G?OJ 
ioo(14) 34 | 28 | holy | [5, 3, 1, 25] | [2, 2, 24] | [is_odd, ad, diffs_incremental, diffs_is_even, dhr] | COUAE | TH(UB)TOE 
Results for branch13.txt
ioo(0) 48 | 34 | holy | [1, 22, 16, 9] | [21, 6, 7] | [ad, dad] | UOETN | TEAYE 
ioo(1) 27 | 26 | holy | [6, 0, 1, 20] | [6, 1, 19] | [ad, dad] | GFUL | ?G?NTIO 
ioo(2) 52 | 9 | holy | [10, 13, 12, 17] | [3, 1, 5] | [ad, diffs_is_odd, dad] | IPEOB | A(CM)EOG 
ioo(3) 60 | 17 | holy | [18, 16, 9, 17] | [2, 7, 8] | [ad, diffs_incremental, dad] | ETNB | XYEG 
ioo(4) 55 | 31 | holy | [18, 24, 4, 9] | [6, 20, 5] | [ad, dad] | EARN | XS?R?E 
ioo(5) 43 | 24 | holy | [23, 6, 9, 5] | [17, 3, 4] | [ad, dad] | DGNC | H?G?ETH 
ioo(6) 78 | 31 | holy | [24, 10, 17, 27] | [14, 7, 10] | [ad, dad] | AIBIO | SAG?IO? 
ioo(7) 62 | 39 | holy | [19, 11, 4, 28] | [8, 7, 24] | [ad, dad] | MJREA | WR?R??EA? 
ioo(8) 58 | 35 | holy | [7, 24, 21, 6] | [17, 3, 15] | [ad, diffs_is_odd, dad] | WAINGG | OSING?G? 
ioo(9) 45 | 22 | holy | [23, 11, 4, 7] | [12, 7, 3] | [ad, diffs_decremental, dad] | DJRW | HR?R?O 
ioo(10) 30 | 29 | holy | [15, 4, 11, 0] | [11, 7, 11] | [ad, diffs_is_odd, dhr, diffs_all_prime] | SRJF | L?R?RN 
ioo(11) 36 | 26 | holy | [4, 2, 4, 26] | [2, 2, 22] | [is_even, hr, diffs_incremental, diffs_is_even, dhr] | RTHRY | ?R?(FID)?R??Y? 
ioo(12) 90 | 17 | holy | [20, 27, 26, 17] | [7, 1, 9] | [ad, diffs_is_odd, dad] | LIOYB | IO?IO??Y?G 
ioo(13) 56 | 28 | holy | [19, 7, 7, 23] | [12, 0, 16] | [is_odd, hr, all_primes, diffs_is_even, dad] | MWWD | WOOH 
ioo(14) 76 | 31 | holy | [27, 12, 11, 26] | [15, 1, 15] | [ad, diffs_is_odd, dhr] | IOEOJY | ?IO?EOR?Y? 
ioo(15) 62 | 31 | holy | [21, 27, 12, 2] | [6, 15, 10] | [ad, dad] | INGIOEOTH | ING?IO?EO(FID) 
ioo(16) 49 | 19 | holy | [12, 12, 6, 19] | [0, 6, 13] | [hr, diffs_incremental, dad] | EOEOGM | EOEO?G?W 
ioo(17) 55 | 27 | holy | [7, 10, 24, 14] | [3, 14, 10] | [ad, dad] | WIAX | OAS(PAE) 
Results for branch14.txt
ioo(0) 47 | 47 | holy | [21, 0, 0, 26] | [21, 0, 26] | [hr, dad] | INGFFY | INGNN?Y? 
ioo(1) 39 | 31 | holy | [14, 23, 1, 1] | [9, 22, 0] | [hr, dad] | XDUU | (PAE)HTT 
ioo(2) 77 | 23 | holy | [6, 24, 22, 25] | [18, 2, 3] | [ad, dad] | GAOEAE | ?G?SEAOE 
Results for mobius15.txt
ioo(0) 70 | 55 | holy | [21, 27, 0, 22] | [6, 27, 22] | [ad, dad] | INGIOFOE | ING?IO?NEA 
ioo(1) 52 | 48 | holy | [2, 27, 19, 4] | [25, 8, 15] | [ad, dad] | THIOMR | (FID)?IO?W?R? 
ioo(2) 60 | 39 | holy | [21, 12, 23, 4] | [9, 11, 19] | [ad, diffs_incremental, diffs_is_odd, dad] | INGEODR | INGEOH?R? 
ioo(3) 56 | 24 | holy | [24, 20, 4, 8] | [4, 16, 4] | [is_even, ad, diffs_is_even, dhr] | ALRH | SIO?R?J 
ioo(4) 85 | 22 | holy | [22, 13, 24, 26] | [9, 11, 2] | [ad, dad] | OEPAY | EA(CM)S?Y? 
ioo(5) 77 | 49 | holy | [23, 27, 3, 24] | [4, 24, 21] | [ad, dad] | DIOOA | H?IO?(UB)S 
ioo(6) 61 | 34 | holy | [14, 24, 23, 0] | [10, 1, 23] | [ad, dad] | XADF | (PAE)SHN 
ioo(7) 56 | 34 | holy | [25, 28, 0, 3] | [3, 28, 3] | [ad, dhr] | AEEAFO | OE?EA?N(UB) 
Results for mobius16.txt
ioo(0) 26 | 18 | holy | [0, 3, 5, 18] | [3, 2, 13] | [incremental, ad, dad, diffs_all_prime] | FOCE | N(UB)THX 
ioo(1) 33 | 18 | holy | [5, 4, 15, 9] | [1, 11, 6] | [ad, dad] | CRSN | TH?R?LE 
ioo(2) 57 | 25 | holy | [27, 19, 9, 2] | [8, 10, 7] | [decremental, ad, dad] | IOMNTH | ?IO?WE(FID) 
ioo(3) 63 | 49 | holy | [6, 25, 9, 23] | [19, 16, 14] | [ad, diffs_decremental, dad] | GAEND | ?G?OEEH 
ioo(4) 29 | 11 | holy | [12, 9, 3, 5] | [3, 6, 2] | [ad, dad] | EONOC | EOE(UB)TH 
ioo(5) 77 | 12 | holy | [18, 15, 20, 24] | [3, 5, 4] | [ad, dad] | ESLA | XLIOS 
ioo(6) 38 | 43 | holy | [22, 2, 13, 1] | [20, 11, 12] | [ad, dad] | OETHPU | EA(FID)(CM)T 
ioo(7) 35 | 48 | holy | [19, 0, 15, 1] | [19, 15, 14] | [ad, diffs_decremental, dad] | MFSU | WNLT 
Results for mobius17.txt
ioo(0) 93 | 8 | holy | [19, 21, 26, 27] | [2, 5, 1] | [incremental, ad, dad] | MINGYIO | WING?Y??IO? 
ioo(1) 74 | 18 | holy | [13, 24, 18, 19] | [11, 6, 1] | [ad, diffs_decremental, dad] | PAEM | (CM)SXW 
ioo(2) 51 | 27 | holy | [1, 8, 14, 28] | [7, 6, 14] | [incremental, ad, dad] | UHXEA | TJ(PAE)?EA? 
ioo(3) 52 | 35 | holy | [19, 8, 19, 6] | [11, 11, 13] | [hr, diffs_incremental, diffs_is_odd, dhr, diffs_all_prime] | MHMG | WJW?G? 
ioo(4) 61 | 45 | holy | [4, 28, 12, 17] | [24, 16, 5] | [ad, diffs_decremental, dad] | REAEOB | ?R??EA?EOG 
ioo(5) 67 | 31 | holy | [27, 27, 3, 10] | [0, 24, 7] | [hr, dad] | IOIOOI | ?IO??IO?(UB)A 
ioo(6) 78 | 27 | holy | [7, 23, 20, 28] | [16, 3, 8] | [ad, dad] | WDLEA | OHIO?EA? 
ioo(7) 43 | 18 | holy | [17, 19, 4, 3] | [2, 15, 1] | [ad, dad] | BMRO | GW?R?(UB) 
ioo(8) 73 | 52 | holy | [27, 0, 21, 25] | [27, 21, 4] | [ad, diffs_decremental, dad] | IOFINGAE | ?IO?NINGOE 
ioo(9) 70 | 43 | holy | [2, 28, 17, 23] | [26, 11, 6] | [ad, diffs_decremental, dad] | THEABD | (FID)?EA?GH 
ioo(10) 64 | 17 | holy | [8, 8, 23, 25] | [0, 15, 2] | [incremental, hr, dad] | HHDAE | JJHOE 
ioo(11) 63 | 28 | holy | [14, 26, 11, 12] | [12, 15, 1] | [ad, dad] | XYJEO | (PAE)?Y?REO 
ioo(12) 66 | 35 | holy | [20, 17, 26, 3] | [3, 9, 23] | [ad, diffs_incremental, diffs_is_odd, dad] | LBYO | IOG?Y?(UB) 
Results for mobius18.txt
ioo(0) 67 | 67 | holy | [28, 0, 26, 13] | [28, 26, 13] | [ad, diffs_decremental, dad] | EAFYP | ?EA?N?Y?(CM) 
ioo(1) 34 | 11 | holy | [2, 9, 10, 13] | [7, 1, 3] | [incremental, ad, diffs_is_odd, dad] | THNIP | (FID)EA(CM) 
ioo(2) 64 | 27 | holy | [13, 6, 19, 26] | [7, 13, 7] | [ad, diffs_is_odd, dhr, diffs_all_prime] | PGMY | (CM)?G?W?Y? 
ioo(3) 52 | 23 | holy | [8, 20, 11, 13] | [12, 9, 2] | [ad, diffs_decremental, dad] | HLJP | JIOR(CM) 
ioo(4) 53 | 41 | holy | [16, 20, 0, 17] | [4, 20, 17] | [ad, dad] | TLFB | YIONG 
ioo(5) 43 | 38 | holy | [14, 1, 18, 10] | [13, 17, 8] | [ad, dad] | XUEI | (PAE)TXA 
ioo(6) 86 | 18 | holy | [21, 16, 26, 23] | [5, 10, 3] | [ad, dad] | INGTYD | INGY?Y?H 
ioo(7) 86 | 13 | holy | [26, 19, 22, 19] | [7, 3, 3] | [hr, diffs_decremental, diffs_is_odd, dhr, diffs_all_prime] | YMOEM | ?Y?WEAW 
ioo(8) 88 | 28 | holy | [22, 26, 14, 26] | [4, 12, 12] | [is_even, hr, diffs_incremental, diffs_is_even, dhr] | OEYXY | EA?Y?(PAE)?Y? 
ioo(9) 58 | 39 | holy | [15, 16, 27, 0] | [1, 11, 27] | [ad, diffs_incremental, diffs_is_odd, dad] | STIOF | LY?IO?N 
Results for mobius19.txt
ioo(0) 51 | 39 | holy | [25, 0, 12, 14] | [25, 12, 2] | [ad, diffs_decremental, dad] | AEFEOX | OENEO(PAE) 
ioo(1) 62 | 33 | holy | [4, 25, 20, 13] | [21, 5, 7] | [ad, diffs_is_odd, dad] | RAELP | ?R?OEIO(CM) 
ioo(2) 50 | 35 | holy | [23, 3, 14, 10] | [20, 11, 4] | [ad, diffs_decremental, dad] | DOXI | H(UB)(PAE)A 
ioo(3) 32 | 19 | holy | [3, 3, 16, 10] | [0, 13, 6] | [hr, dad] | OOTI | (UB)(UB)YA 
ioo(4) 60 | 30 | holy | [25, 7, 9, 19] | [18, 2, 10] | [is_odd, ad, diffs_is_even, dad] | AEWNM | OEOEW 
ioo(5) 56 | 30 | holy | [17, 3, 17, 19] | [14, 14, 2] | [is_odd, hr, all_primes, diffs_decremental, diffs_is_even, dhr] | BOBM | G(UB)GW 
ioo(6) 48 | 40 | holy | [8, 14, 2, 24] | [6, 12, 22] | [is_even, ad, diffs_incremental, diffs_is_even, dad] | HXTHA | J(PAE)(FID)S 
ioo(7) 74 | 23 | holy | [15, 24, 15, 20] | [9, 9, 5] | [hr, diffs_decremental, diffs_is_odd, dhr] | SASL | LSLIO 
