Starting global crib with output settings...
shiftsum | shiftdifferencessum | cribword | shiftlist | shiftdifferences | shiftlistfacts | shiftsinwordform | shiftsingpform
ioo(8) 35 | 15 | seek | [0, 11, 13, 11] | [11, 2, 2] | [hr, all_primes, diffs_decremental, dhr, diffs_all_prime] | FJPJ | NR(CM)R 
Results for branch12.txt
ioo(0) 76 | 9 | seek | [16, 16, 19, 25] | [0, 3, 6] | [incremental, hr, diffs_incremental, dad] | TTMAE | YYWOE 
ioo(1) 56 | 25 | seek | [14, 13, 6, 23] | [1, 7, 17] | [ad, diffs_incremental, diffs_is_odd, dad] | XPGD | (PAE)(CM)?G?H 
ioo(2) 43 | 8 | seek | [8, 11, 10, 14] | [3, 1, 4] | [ad, dad] | HJIX | JRA(PAE) 
ioo(3) 69 | 33 | seek | [4, 21, 27, 17] | [17, 6, 10] | [ad, dad] | RINGIOB | ?R?ING?IO?G 
ioo(4) 59 | 31 | seek | [22, 8, 18, 11] | [14, 10, 7] | [ad, diffs_decremental, dad] | OEHEJ | EAJXR 
ioo(5) 51 | 40 | seek | [5, 27, 10, 9] | [22, 17, 1] | [ad, diffs_decremental, dad] | CIOIN | TH?IO?AE 
ioo(6) 62 | 36 | seek | [7, 26, 20, 9] | [19, 6, 11] | [ad, dad] | WYLN | O?Y?IOE 
ioo(7) 69 | 24 | seek | [21, 27, 10, 11] | [6, 17, 1] | [ad, dad] | INGIOIJ | ING?IO?AR 
ioo(8) 37 | 16 | seek | [3, 12, 9, 13] | [9, 3, 4] | [ad, dad] | OEONP | (UB)EOE(CM) 
ioo(9) 65 | 8 | seek | [13, 13, 18, 21] | [0, 5, 3] | [incremental, hr, dad, diffs_all_prime] | PPEING | (CM)(CM)XING 
ioo(10) 36 | 41 | seek | [1, 22, 5, 8] | [21, 17, 3] | [ad, diffs_decremental, diffs_is_odd, dad] | UOECH | TEATHJ 
ioo(11) 49 | 18 | seek | [5, 17, 16, 11] | [12, 1, 5] | [ad, dad] | CBTJ | THGYR 
